id	title	company	status	description	date	victims	compensation	category	link
1	쿠팡 개인정보 유출 집단소송	쿠팡	모집중	2024년 6월부터 약 5개월간 해킹으로 3,370만명의 개인정보가 유출된 사건. 2025년 11월 공식 발표. 국내 최대 규모 개인정보 유출 사고	2025.11	약 3370만명	1인당 약 10만원 예상	소비자	https://www.daeryunlaw.com/notice/5915
2	티몬·위메프 정산지연 집단소송	티몬·위메프	진행중	큐텐 계열사의 판매자 정산 지연 및 미지급 사태. 약 1조 7,000억원 규모의 피해	2024.07	소상공인 다수	약 1조 7000억원 규모	소비자	https://www.scourt.go.kr/
3	BMW 화재 결함 집단소송	BMW 코리아	진행중	2018년부터 발생한 BMW 디젤차량 연쇄 화재 사고. EGR 쿨러 결함이 원인으로 밝혀짐. 한국 최초 소비자 집단소송	2018.08	약 10만대 이상	진행중	자동차	https://www.scourt.go.kr/
4	라임자산운용 펀드 사기 집단소송	라임자산운용	진행중	라임펀드 환매 중단 사태. 2024년 프랑스에서 이인광 에스모 회장 검거. 피해액 1조원 이상	2020.07	투자자 다수	피해액 1조원 이상	금융	https://www.scourt.go.kr/
5	옵티머스 사모펀드 집단소송	옵티머스자산운용	진행중	옵티머스 펀드 돌려막기 사기 사건. 김재현 전 대표 징역 40년 확정. 5,000억원 횡령	2020.09	투자자 다수	피해액 5000억원	금융	https://www.scourt.go.kr/
6	가습기살균제 피해 집단소송	옥시레킷벤키저·SK케미칼·애경 외	진행중	2024년 2월 국가배상책임 첫 인정. 사망자 1,843명, 인정 피해자 6,048명. 2024년 대법원 재심리 진행 중	2016.05	사망자 1843명, 피해자 6048명	국가배상 300~500만원	소비자	https://healthrelief.or.kr/
7	테라·루나 코인 투자자 집단소송	테라폼랩스	진행중	2022년 테라·루나 코인 폭락 사태. 권도형 대표 2024년 미국 송환. 한국 피해액 3,000억원	2022.06	약 20만명	피해액 3000억원	가상자산	https://www.scourt.go.kr/
8	카카오 먹통 사태 소송	카카오	완료	2022년 10월 카카오 데이터센터 화재로 인한 서비스 장애. 2023년 집단소송 1심 기각	2022.10	전 국민	소송 기각	IT·서비스	https://www.scourt.go.kr/
9	폭스바겐 배출가스 조작 집단소송	폭스바겐 코리아	완료	디젤 차량 배출가스 조작 '디젤게이트' 사건. 2020년 합의로 종결	2015.11	약 12만대	1인당 평균 150만원	자동차	https://www.scourt.go.kr/
10	삼성바이오로직스 회계 부정 집단소송	삼성바이오로직스	진행중	2015년 회계처리 부정 의혹 관련 주주 손해배상 소송. 장기간 법정 공방 중	2021.04	소액주주 다수	진행중	증권	https://www.scourt.go.kr/portal/notice/securities/securities.jsp
